Log Time      ;PG Name                       ;   CPU (%);MEMORY (M)
20220308082232;audiodg                       ;        4%;   36.26MB
20220308082237;audiodg                       ;        1%;   36.26MB
20220308082241;audiodg                       ;        2%;   36.26MB
20220308082242;audiodg                       ;        1%;   36.26MB
20220308082246;audiodg                       ;        2%;   36.26MB
20220308082248;WmiPrvSE#3                    ;        1%;    16.4MB
20220308082248;audiodg                       ;        2%;   36.26MB
